Value,attempts,intercepted,susceptible,secure
0.48,151,0,0,0.48
0.39,152,0,0,0.39
0.48,153,0,0,0.48
0.45,154,0,0,0.45
0.46,155,0,0,0.46
0.5,156,0,0.5,0
0.47,157,0,0,0.47
0.59,158,0,0.59,0
0.47,159,0,0,0.47
0.55,160,0,0.55,0
0.48,161,0,0,0.48
0.51,162,0,0.51,0
0.54,163,0,0.54,0
0.45,164,0,0,0.45
0.6,165,0,0.6,0
0.43,166,0,0,0.43
0.53,167,0,0.53,0
0.43,168,0,0,0.43
0.52,169,0,0.52,0
0.53,170,0,0.53,0
0.58,171,0,0.58,0
0.42,172,0,0,0.42
0.5,173,0,0.5,0
0.49,174,0,0,0.49
0.61,175,0,0.61,0
0.5,176,0,0.5,0
0.48,177,0,0,0.48
0.44,178,0,0,0.44
0.51,179,0,0.51,0
0.53,180,0,0.53,0
0.45,181,0,0,0.45
0.54,182,0,0.54,0
0.54,183,0,0.54,0
0.55,184,0,0.55,0
0.56,185,0,0.56,0
0.38,186,0,0,0.38
0.47,187,0,0,0.47
0.5,188,0,0.5,0
0.52,189,0,0.52,0
0.49,190,0,0,0.49
0.42,191,0,0,0.42
0.56,192,0,0.56,0
0.53,193,0,0.53,0
0.53,194,0,0.53,0
0.44,195,0,0,0.44
0.56,196,0,0.56,0
0.52,197,0,0.52,0
0.49,198,0,0,0.49
0.56,199,0,0.56,0
0.58,200,0,0.58,0
0.51,201,0,0.51,0
0.42,202,0,0,0.42
0.5,203,0,0.5,0
0.5,204,0,0.5,0
0.52,205,0,0.52,0
0.45,206,0,0,0.45
0.49,207,0,0,0.49
0.47,208,0,0,0.47
0.5,209,0,0.5,0
0.57,210,0,0.57,0
0.53,211,0,0.53,0
0.44,212,0,0,0.44
0.4,213,0,0,0.4
0.47,214,0,0,0.47
0.53,215,0,0.53,0
0.58,216,0,0.58,0
0.52,217,0,0.52,0
0.43,218,0,0,0.43
0.38,219,0,0,0.38
0.38,220,0,0,0.38
0.46,221,0,0,0.46
0.5,222,0,0.5,0
0.45,223,0,0,0.45
0.49,224,0,0,0.49
0.47,225,0,0,0.47
0.45,226,0,0,0.45
0.52,227,0,0.52,0
0.49,228,0,0,0.49
0.49,229,0,0,0.49
0.5,230,0,0.5,0
0.46,231,0,0,0.46
0.5,232,0,0.5,0
0.5,233,0,0.5,0
0.53,234,0,0.53,0
0.55,235,0,0.55,0
0.49,236,0,0,0.49
0.44,237,0,0,0.44
0.5,238,0,0.5,0
0.43,239,0,0,0.43
0.43,240,0,0,0.43
0.52,241,0,0.52,0
0.42,242,0,0,0.42
0.48,243,0,0,0.48
0.43,244,0,0,0.43
0.43,245,0,0,0.43
0.46,246,0,0,0.46
0.55,247,0,0.55,0
0.54,248,0,0.54,0
0.54,249,0,0.54,0
0.53,250,0,0.53,0
0.45,251,0,0,0.45
0.43,252,0,0,0.43
0.54,253,0,0.54,0
0.57,254,0,0.57,0
0.54,255,0,0.54,0
0.53,256,0,0.53,0
0.5,257,0,0.5,0
0.57,258,0,0.57,0
0.5,259,0,0.5,0
0.47,260,0,0,0.47
0.52,261,0,0.52,0
0.39,262,0,0,0.39
0.44,263,0,0,0.44
0.51,264,0,0.51,0
0.51,265,0,0.51,0
0.5,266,0,0.5,0
0.49,267,0,0,0.49
0.61,268,0,0.61,0
0.5,269,0,0.5,0
0.5,270,0,0.5,0
0.49,271,0,0,0.49
0.59,272,0,0.59,0
0.55,273,0,0.55,0
0.46,274,0,0,0.46
0.53,275,0,0.53,0
0.49,276,0,0,0.49
0.56,277,0,0.56,0
0.53,278,0,0.53,0
0.42,279,0,0,0.42
0.52,280,0,0.52,0
0.44,281,0,0,0.44
0.47,282,0,0,0.47
0.48,283,0,0,0.48
0.61,284,0,0.61,0
0.53,285,0,0.53,0
0.58,286,0,0.58,0
0.54,287,0,0.54,0
0.58,288,0,0.58,0
0.52,289,0,0.52,0
0.43,290,0,0,0.43
0.49,291,0,0,0.49
0.53,292,0,0.53,0
0.49,293,0,0,0.49
0.5,294,0,0.5,0
0.5,295,0,0.5,0
0.48,296,0,0,0.48
0.47,297,0,0,0.47
0.46,298,0,0,0.46
0.51,299,0,0.51,0
0.51,300,0,0.51,0
0.5,301,0,0.5,0
0.5,302,0,0.5,0
0.55,303,0,0.55,0
0.4,304,0,0,0.4
0.52,305,0,0.52,0
0.56,306,0,0.56,0
0.47,307,0,0,0.47
0.42,308,0,0,0.42
0.48,309,0,0,0.48
0.48,310,0,0,0.48
0.49,311,0,0,0.49
0.51,312,0,0.51,0
0.35,313,0,0,0.35
0.45,314,0,0,0.45
0.56,315,0,0.56,0
0.5,316,0,0.5,0
0.48,317,0,0,0.48
0.52,318,0,0.52,0
0.53,319,0,0.53,0
0.57,320,0,0.57,0
0.54,321,0,0.54,0
0.51,322,0,0.51,0
0.56,323,0,0.56,0
0.41,324,0,0,0.41
0.47,325,0,0,0.47
0.59,326,0,0.59,0
0.5,327,0,0.5,0
0.51,328,0,0.51,0
0.52,329,0,0.52,0
0.44,330,0,0,0.44
0.44,331,0,0,0.44
0.56,332,0,0.56,0
0.52,333,0,0.52,0
0.47,334,0,0,0.47
0.46,335,0,0,0.46
0.51,336,0,0.51,0
0.46,337,0,0,0.46
0.51,338,0,0.51,0
0.48,339,0,0,0.48
0.57,340,0,0.57,0
0.51,341,0,0.51,0
0.59,342,0,0.59,0
0.42,343,0,0,0.42
0.51,344,0,0.51,0
0.54,345,0,0.54,0
0.53,346,0,0.53,0
0.53,347,0,0.53,0
0.49,348,0,0,0.49
0.6,349,0,0.6,0
0.6,350,0,0.6,0
0.58,351,0,0.58,0
0.35,352,0,0,0.35
0.52,353,0,0.52,0
0.51,354,0,0.51,0
0.54,355,0,0.54,0
0.52,356,0,0.52,0
0.49,357,0,0,0.49
0.46,358,0,0,0.46
0.4,359,0,0,0.4
0.61,360,0,0.61,0
0.48,361,0,0,0.48
0.62,362,0,0.62,0
0.56,363,0,0.56,0
0.57,364,0,0.57,0
0.5,365,0,0.5,0
0.5,366,0,0.5,0
0.58,367,0,0.58,0
0.57,368,0,0.57,0
0.44,369,0,0,0.44
0.61,370,0,0.61,0
0.54,371,0,0.54,0
0.53,372,0,0.53,0
0.48,373,0,0,0.48
0.52,374,0,0.52,0
0.34,375,0,0,0.34
0.48,376,0,0,0.48
0.58,377,0,0.58,0
0.51,378,0,0.51,0
0.52,379,0,0.52,0
0.48,380,0,0,0.48
0.52,381,0,0.52,0
0.47,382,0,0,0.47
0.51,383,0,0.51,0
0.52,384,0,0.52,0
0.51,385,0,0.51,0
0.56,386,0,0.56,0
0.49,387,0,0,0.49
0.51,388,0,0.51,0
0.52,389,0,0.52,0
0.5,390,0,0.5,0
0.43,391,0,0,0.43
0.52,392,0,0.52,0
0.51,393,0,0.51,0
0.42,394,0,0,0.42
0.46,395,0,0,0.46
0.52,396,0,0.52,0
0.51,397,0,0.51,0
0.57,398,0,0.57,0
0.52,399,0,0.52,0
0.46,400,0,0,0.46
0.44,401,0,0,0.44
0.5,402,0,0.5,0
0.58,403,0,0.58,0
0.48,404,0,0,0.48
0.59,405,0,0.59,0
0.54,406,0,0.54,0
0.56,407,0,0.56,0
0.53,408,0,0.53,0
0.55,409,0,0.55,0
0.45,410,0,0,0.45
0.54,411,0,0.54,0
0.5,412,0,0.5,0
0.58,413,0,0.58,0
0.51,414,0,0.51,0
0.49,415,0,0,0.49
0.54,416,0,0.54,0
0.6,417,0,0.6,0
0.44,418,0,0,0.44
0.42,419,0,0,0.42
0.5,420,0,0.5,0
0.49,421,0,0,0.49
0.49,422,0,0,0.49
0.56,423,0,0.56,0
0.46,424,0,0,0.46
0.51,425,0,0.51,0
0.48,426,0,0,0.48
0.46,427,0,0,0.46
0.47,428,0,0,0.47
0.45,429,0,0,0.45
0.46,430,0,0,0.46
0.44,431,0,0,0.44
0.55,432,0,0.55,0
0.49,433,0,0,0.49
0.45,434,0,0,0.45
0.45,435,0,0,0.45
0.46,436,0,0,0.46
0.46,437,0,0,0.46
0.59,438,0,0.59,0
0.51,439,0,0.51,0
0.43,440,0,0,0.43
0.58,441,0,0.58,0
0.54,442,0,0.54,0
0.48,443,0,0,0.48
0.49,444,0,0,0.49
0.43,445,0,0,0.43
0.46,446,0,0,0.46
0.57,447,0,0.57,0
0.53,448,0,0.53,0
0.52,449,0,0.52,0
0.47,450,0,0,0.47
0.53,451,0,0.53,0
0.5,452,0,0.5,0
0.48,453,0,0,0.48
0.52,454,0,0.52,0
0.45,455,0,0,0.45
0.49,456,0,0,0.49
0.57,457,0,0.57,0
0.49,458,0,0,0.49
0.47,459,0,0,0.47
0.47,460,0,0,0.47
0.47,461,0,0,0.47
0.48,462,0,0,0.48
0.54,463,0,0.54,0
0.62,464,0,0.62,0
0.5,465,0,0.5,0
0.57,466,0,0.57,0
0.52,467,0,0.52,0
0.4,468,0,0,0.4
0.48,469,0,0,0.48
0.49,470,0,0,0.49
0.51,471,0,0.51,0
0.47,472,0,0,0.47
0.51,473,0,0.51,0
0.51,474,0,0.51,0
0.46,475,0,0,0.46
0.5,476,0,0.5,0
0.55,477,0,0.55,0
0.45,478,0,0,0.45
0.56,479,0,0.56,0
0.5,480,0,0.5,0
0.52,481,0,0.52,0
0.42,482,0,0,0.42
0.5,483,0,0.5,0
0.5,484,0,0.5,0
0.58,485,0,0.58,0
0.43,486,0,0,0.43
0.57,487,0,0.57,0
0.54,488,0,0.54,0
0.51,489,0,0.51,0
0.46,490,0,0,0.46
0.54,491,0,0.54,0
0.35,492,0,0,0.35
0.45,493,0,0,0.45
0.47,494,0,0,0.47
0.49,495,0,0,0.49
0.44,496,0,0,0.44
0.58,497,0,0.58,0
0.46,498,0,0,0.46
0.47,499,0,0,0.47
0.43,500,0,0,0.43
0.48,501,0,0,0.48
0.53,502,0,0.53,0
0.52,503,0,0.52,0
0.54,504,0,0.54,0
0.45,505,0,0,0.45
0.48,506,0,0,0.48
0.61,507,0,0.61,0
0.48,508,0,0,0.48
0.46,509,0,0,0.46
0.52,510,0,0.52,0
0.6,511,0,0.6,0
0.5,512,0,0.5,0
0.39,513,0,0,0.39
0.52,514,0,0.52,0
0.49,515,0,0,0.49
0.45,516,0,0,0.45
0.53,517,0,0.53,0
0.49,518,0,0,0.49
0.54,519,0,0.54,0
0.57,520,0,0.57,0
0.51,521,0,0.51,0
0.51,522,0,0.51,0
0.53,523,0,0.53,0
0.52,524,0,0.52,0
0.43,525,0,0,0.43
0.53,526,0,0.53,0
0.4,527,0,0,0.4
0.57,528,0,0.57,0
0.51,529,0,0.51,0
0.5,530,0,0.5,0
0.46,531,0,0,0.46
0.53,532,0,0.53,0
0.49,533,0,0,0.49
0.51,534,0,0.51,0
0.5,535,0,0.5,0
0.52,536,0,0.52,0
0.49,537,0,0,0.49
0.45,538,0,0,0.45
0.55,539,0,0.55,0
0.49,540,0,0,0.49
0.5,541,0,0.5,0
0.45,542,0,0,0.45
0.47,543,0,0,0.47
0.53,544,0,0.53,0
0.46,545,0,0,0.46
0.53,546,0,0.53,0
0.51,547,0,0.51,0
0.46,548,0,0,0.46
0.54,549,0,0.54,0
0.49,550,0,0,0.49
0.46,551,0,0,0.46
0.53,552,0,0.53,0
0.48,553,0,0,0.48
0.52,554,0,0.52,0
0.43,555,0,0,0.43
0.42,556,0,0,0.42
0.46,557,0,0,0.46
0.58,558,0,0.58,0
0.6,559,0,0.6,0
0.42,560,0,0,0.42
0.52,561,0,0.52,0
0.45,562,0,0,0.45
0.54,563,0,0.54,0
0.51,564,0,0.51,0
0.47,565,0,0,0.47
0.44,566,0,0,0.44
0.5,567,0,0.5,0
0.47,568,0,0,0.47
0.47,569,0,0,0.47
0.51,570,0,0.51,0
0.44,571,0,0,0.44
0.45,572,0,0,0.45
0.44,573,0,0,0.44
0.52,574,0,0.52,0
0.44,575,0,0,0.44
0.5,576,0,0.5,0
0.48,577,0,0,0.48
0.59,578,0,0.59,0
0.52,579,0,0.52,0
0.5,580,0,0.5,0
0.47,581,0,0,0.47
0.43,582,0,0,0.43
0.56,583,0,0.56,0
0.47,584,0,0,0.47
0.46,585,0,0,0.46
0.49,586,0,0,0.49
0.5,587,0,0.5,0
0.57,588,0,0.57,0
0.46,589,0,0,0.46
0.46,590,0,0,0.46
0.58,591,0,0.58,0
0.56,592,0,0.56,0
0.59,593,0,0.59,0
0.44,594,0,0,0.44
0.54,595,0,0.54,0
0.58,596,0,0.58,0
0.48,597,0,0,0.48
0.56,598,0,0.56,0
0.5,599,0,0.5,0
0.48,600,0,0,0.48
0.55,601,0,0.55,0
0.5,602,0,0.5,0
0.52,603,0,0.52,0
0.56,604,0,0.56,0
0.43,605,0,0,0.43
0.49,606,0,0,0.49
0.48,607,0,0,0.48
0.51,608,0,0.51,0
0.47,609,0,0,0.47
0.49,610,0,0,0.49
0.5,611,0,0.5,0
0.45,612,0,0,0.45
0.55,613,0,0.55,0
0.47,614,0,0,0.47
0.54,615,0,0.54,0
0.47,616,0,0,0.47
0.55,617,0,0.55,0
0.61,618,0,0.61,0
0.48,619,0,0,0.48
0.53,620,0,0.53,0
0.47,621,0,0,0.47
0.5,622,0,0.5,0
0.46,623,0,0,0.46
0.53,624,0,0.53,0
0.45,625,0,0,0.45
0.51,626,0,0.51,0
0.53,627,0,0.53,0
0.53,628,0,0.53,0
0.54,629,0,0.54,0
0.5,630,0,0.5,0
0.49,631,0,0,0.49
0.46,632,0,0,0.46
0.42,633,0,0,0.42
0.53,634,0,0.53,0
0.51,635,0,0.51,0
0.52,636,0,0.52,0
0.46,637,0,0,0.46
0.49,638,0,0,0.49
0.58,639,0,0.58,0
0.54,640,0,0.54,0
0.55,641,0,0.55,0
0.53,642,0,0.53,0
0.57,643,0,0.57,0
0.53,644,0,0.53,0
0.46,645,0,0,0.46
0.5,646,0,0.5,0
0.47,647,0,0,0.47
0.6,648,0,0.6,0
0.51,649,0,0.51,0
0.42,650,0,0,0.42
0.51,651,0,0.51,0
0.46,652,0,0,0.46
0.54,653,0,0.54,0
0.5,654,0,0.5,0
0.41,655,0,0,0.41
0.51,656,0,0.51,0
0.4,657,0,0,0.4
0.48,658,0,0,0.48
0.53,659,0,0.53,0
0.54,660,0,0.54,0
0.48,661,0,0,0.48
0.48,662,0,0,0.48
0.44,663,0,0,0.44
0.54,664,0,0.54,0
0.51,665,0,0.51,0
0.52,666,0,0.52,0
0.51,667,0,0.51,0
0.53,668,0,0.53,0
0.45,669,0,0,0.45
0.51,670,0,0.51,0
0.49,671,0,0,0.49
0.55,672,0,0.55,0
0.48,673,0,0,0.48
0.46,674,0,0,0.46
0.51,675,0,0.51,0
0.54,676,0,0.54,0
0.58,677,0,0.58,0
0.55,678,0,0.55,0
0.48,679,0,0,0.48
0.46,680,0,0,0.46
0.47,681,0,0,0.47
0.63,682,0,0.63,0
0.47,683,0,0,0.47
0.51,684,0,0.51,0
0.44,685,0,0,0.44
0.44,686,0,0,0.44
0.48,687,0,0,0.48
0.49,688,0,0,0.49
0.45,689,0,0,0.45
0.58,690,0,0.58,0
0.46,691,0,0,0.46
0.47,692,0,0,0.47
0.4,693,0,0,0.4
0.46,694,0,0,0.46
0.5,695,0,0.5,0
0.58,696,0,0.58,0
0.47,697,0,0,0.47
0.48,698,0,0,0.48
0.41,699,0,0,0.41
0.49,700,0,0,0.49
0.49,701,0,0,0.49
0.54,702,0,0.54,0
0.51,703,0,0.51,0
0.56,704,0,0.56,0
0.4,705,0,0,0.4
0.45,706,0,0,0.45
0.57,707,0,0.57,0
0.46,708,0,0,0.46
0.5,709,0,0.5,0
0.39,710,0,0,0.39
0.44,711,0,0,0.44
0.45,712,0,0,0.45
0.46,713,0,0,0.46
0.48,714,0,0,0.48
0.5,715,0,0.5,0
0.42,716,0,0,0.42
0.45,717,0,0,0.45
0.53,718,0,0.53,0
0.55,719,0,0.55,0
0.44,720,0,0,0.44
0.49,721,0,0,0.49
0.49,722,0,0,0.49
0.4,723,0,0,0.4
0.52,724,0,0.52,0
0.52,725,0,0.52,0
0.51,726,0,0.51,0
0.43,727,0,0,0.43
0.57,728,0,0.57,0
0.49,729,0,0,0.49
0.42,730,0,0,0.42
0.45,731,0,0,0.45
0.53,732,0,0.53,0
0.44,733,0,0,0.44
0.46,734,0,0,0.46
0.49,735,0,0,0.49
0.54,736,0,0.54,0
0.41,737,0,0,0.41
0.53,738,0,0.53,0
0.53,739,0,0.53,0
0.52,740,0,0.52,0
0.51,741,0,0.51,0
0.59,742,0,0.59,0
0.66,743,0,0.66,0
0.42,744,0,0,0.42
0.56,745,0,0.56,0
0.5,746,0,0.5,0
0.54,747,0,0.54,0
0.52,748,0,0.52,0
0.59,749,0,0.59,0
0.5,750,0,0.5,0
0.55,751,0,0.55,0
0.48,752,0,0,0.48
0.5,753,0,0.5,0
0.43,754,0,0,0.43
0.48,755,0,0,0.48
0.53,756,0,0.53,0
0.45,757,0,0,0.45
0.56,758,0,0.56,0
0.5,759,0,0.5,0
0.48,760,0,0,0.48
0.53,761,0,0.53,0
0.54,762,0,0.54,0
0.46,763,0,0,0.46
0.43,764,0,0,0.43
0.58,765,0,0.58,0
0.48,766,0,0,0.48
0.54,767,0,0.54,0
0.56,768,0,0.56,0
0.49,769,0,0,0.49
0.53,770,0,0.53,0
0.54,771,0,0.54,0
0.5,772,0,0.5,0
0.49,773,0,0,0.49
0.47,774,0,0,0.47
0.58,775,0,0.58,0
0.49,776,0,0,0.49
0.54,777,0,0.54,0
0.54,778,0,0.54,0
0.56,779,0,0.56,0
0.53,780,0,0.53,0
0.5,781,0,0.5,0
0.48,782,0,0,0.48
0.51,783,0,0.51,0
0.45,784,0,0,0.45
0.6,785,0,0.6,0
0.52,786,0,0.52,0
0.5,787,0,0.5,0
0.55,788,0,0.55,0
0.43,789,0,0,0.43
0.45,790,0,0,0.45
0.49,791,0,0,0.49
0.48,792,0,0,0.48
0.57,793,0,0.57,0
0.46,794,0,0,0.46
0.44,795,0,0,0.44
0.52,796,0,0.52,0
0.62,797,0,0.62,0
0.43,798,0,0,0.43
0.51,799,0,0.51,0
0.49,800,0,0,0.49
0.52,801,0,0.52,0
0.4,802,0,0,0.4
0.43,803,0,0,0.43
0.48,804,0,0,0.48
0.47,805,0,0,0.47
0.51,806,0,0.51,0
0.47,807,0,0,0.47
0.5,808,0,0.5,0
0.57,809,0,0.57,0
0.43,810,0,0,0.43
0.46,811,0,0,0.46
0.59,812,0,0.59,0
0.46,813,0,0,0.46
0.55,814,0,0.55,0
0.51,815,0,0.51,0
0.47,816,0,0,0.47
0.48,817,0,0,0.48
0.5,818,0,0.5,0
0.54,819,0,0.54,0
0.56,820,0,0.56,0
0.52,821,0,0.52,0
0.46,822,0,0,0.46
0.48,823,0,0,0.48
0.55,824,0,0.55,0
0.48,825,0,0,0.48
0.43,826,0,0,0.43
0.52,827,0,0.52,0
0.35,828,0,0,0.35
0.54,829,0,0.54,0
0.61,830,0,0.61,0
0.47,831,0,0,0.47
0.53,832,0,0.53,0
0.45,833,0,0,0.45
0.52,834,0,0.52,0
0.44,835,0,0,0.44
0.49,836,0,0,0.49
0.64,837,0,0.64,0
0.43,838,0,0,0.43
0.45,839,0,0,0.45
0.58,840,0,0.58,0
0.46,841,0,0,0.46
0.5,842,0,0.5,0
0.54,843,0,0.54,0
0.5,844,0,0.5,0
0.43,845,0,0,0.43
0.57,846,0,0.57,0
0.56,847,0,0.56,0
0.45,848,0,0,0.45
0.6,849,0,0.6,0
0.5,850,0,0.5,0
0.46,851,0,0,0.46
0.54,852,0,0.54,0
0.4,853,0,0,0.4
0.44,854,0,0,0.44
0.53,855,0,0.53,0
0.5,856,0,0.5,0
0.53,857,0,0.53,0
0.49,858,0,0,0.49
0.47,859,0,0,0.47
0.57,860,0,0.57,0
0.57,861,0,0.57,0
0.4,862,0,0,0.4
0.45,863,0,0,0.45
0.46,864,0,0,0.46
0.47,865,0,0,0.47
0.47,866,0,0,0.47
0.5,867,0,0.5,0
0.48,868,0,0,0.48
0.56,869,0,0.56,0
0.38,870,0,0,0.38
0.47,871,0,0,0.47
0.47,872,0,0,0.47
0.49,873,0,0,0.49
0.46,874,0,0,0.46
0.48,875,0,0,0.48
0.58,876,0,0.58,0
0.51,877,0,0.51,0
0.53,878,0,0.53,0
0.5,879,0,0.5,0
0.41,880,0,0,0.41
0.57,881,0,0.57,0
0.5,882,0,0.5,0
0.45,883,0,0,0.45
0.5,884,0,0.5,0
0.55,885,0,0.55,0
0.43,886,0,0,0.43
0.55,887,0,0.55,0
0.46,888,0,0,0.46
0.64,889,0,0.64,0
0.44,890,0,0,0.44
0.51,891,0,0.51,0
0.51,892,0,0.51,0
0.53,893,0,0.53,0
0.51,894,0,0.51,0
0.61,895,0,0.61,0
0.54,896,0,0.54,0
0.48,897,0,0,0.48
0.53,898,0,0.53,0
0.56,899,0,0.56,0
0.49,900,0,0,0.49
0.59,901,0,0.59,0
0.48,902,0,0,0.48
0.56,903,0,0.56,0
0.5,904,0,0.5,0
0.39,905,0,0,0.39
0.43,906,0,0,0.43
0.51,907,0,0.51,0
0.47,908,0,0,0.47
0.59,909,0,0.59,0
0.43,910,0,0,0.43
0.43,911,0,0,0.43
0.49,912,0,0,0.49
0.37,913,0,0,0.37
0.54,914,0,0.54,0
0.49,915,0,0,0.49
0.5,916,0,0.5,0
0.49,917,0,0,0.49
0.45,918,0,0,0.45
0.58,919,0,0.58,0
0.41,920,0,0,0.41
0.57,921,0,0.57,0
0.49,922,0,0,0.49
0.45,923,0,0,0.45
0.54,924,0,0.54,0
0.56,925,0,0.56,0
0.46,926,0,0,0.46
0.51,927,0,0.51,0
0.55,928,0,0.55,0
0.55,929,0,0.55,0
0.41,930,0,0,0.41
0.47,931,0,0,0.47
0.49,932,0,0,0.49
0.61,933,0,0.61,0
0.51,934,0,0.51,0
0.59,935,0,0.59,0
0.4,936,0,0,0.4
0.53,937,0,0.53,0
0.47,938,0,0,0.47
0.52,939,0,0.52,0
0.43,940,0,0,0.43
0.41,941,0,0,0.41
0.45,942,0,0,0.45
0.49,943,0,0,0.49
0.53,944,0,0.53,0
0.45,945,0,0,0.45
0.52,946,0,0.52,0
0.35,947,0,0,0.35
0.55,948,0,0.55,0
0.51,949,0,0.51,0
0.54,950,0,0.54,0
0.51,951,0,0.51,0
0.59,952,0,0.59,0
0.49,953,0,0,0.49
0.63,954,0,0.63,0
0.52,955,0,0.52,0
0.45,956,0,0,0.45
0.49,957,0,0,0.49
0.44,958,0,0,0.44
0.43,959,0,0,0.43
0.53,960,0,0.53,0
0.53,961,0,0.53,0
0.51,962,0,0.51,0
0.54,963,0,0.54,0
0.47,964,0,0,0.47
0.46,965,0,0,0.46
0.49,966,0,0,0.49
0.57,967,0,0.57,0
0.54,968,0,0.54,0
0.56,969,0,0.56,0
0.48,970,0,0,0.48
0.51,971,0,0.51,0
0.56,972,0,0.56,0
0.49,973,0,0,0.49
0.51,974,0,0.51,0
0.49,975,0,0,0.49
0.5,976,0,0.5,0
0.51,977,0,0.51,0
0.45,978,0,0,0.45
0.47,979,0,0,0.47
0.53,980,0,0.53,0
0.45,981,0,0,0.45
0.55,982,0,0.55,0
0.55,983,0,0.55,0
0.45,984,0,0,0.45
0.44,985,0,0,0.44
0.46,986,0,0,0.46
0.59,987,0,0.59,0
0.5,988,0,0.5,0
0.5,989,0,0.5,0
0.49,990,0,0,0.49
0.48,991,0,0,0.48
0.52,992,0,0.52,0
0.48,993,0,0,0.48
0.52,994,0,0.52,0
0.52,995,0,0.52,0
0.5,996,0,0.5,0
